Kelly Hall | 37.23133177570133 | -80.42214286118372 | 0.025 | 3
Turner Place | 37.23110967582668 | -80.42271148945954 | 0.035 | 5
Goodwin Hall | 37.23258696128242 | -80.42566324925787 | 0.075 | 7
Lane Stadium | 37.21919024033554 | -80.4185002147338 | 0.005 | 1
Newman Library | 37.229121846910836 | -80.41963167829391 | 0.015 | 5
Torgerson Hall | 37.22987550918188 | -80.42015035923694 | 0.2 | 13
Randolph Hall | 37.23045549941672 | -80.4233893745829 | 0.05 | 6
Litton Reaves Hall | 37.22173577018098 | -80.4238338034198 | 0.005 | 1
McBryde Hall | 37.23107853414191 | -80.4217313169099 | 0.005 | 3
McComas Hall | 37.22075173768255 | -80.42243781876584 | 0.005 | 3
Squires Student Center | 37.22976253682598 | -80.41793368807345 | 0.015 | 5
Center of Dance Studio | 37.23338494234619 | -80.42260960207835 | 0.015 | 2
Dance Tech | 37.240292015348324 | -80.419777272727 | 0.025 | 2
Chipotle North Main | 37.23130961426954 | -80.41523524768994 | 0.025 | 3
My Apartment | 37.24330890919382 | -80.4269914592363 | 0.4 | 28
Applied Lab | 37.23222722025886 | -80.42187354276422 | 0.1 | 9
